thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,59,13,001,26,f,r,calibration,0.55,2,0,59,0.347354013008391,-0.6306903787402434,1,False,3.3974783001467586,False,square,square,0.27504036690327854,3.337822648720035,607.4837220670464,335.18037984338895,1385,[np.int64(1040)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,60,13,001,26,f,r,calibration,0.55,2,0,60,0.347354013008391,-0.6306903787402434,1,False,1.9159327000379562,False,dot,dot,0.27741143338561,4.329000695633476,787.8781266052927,376.79859091924277,644,[np.int64(359)],-0.7272752598255505,3.2878129745835034,2.0863197354543956,0.021461192564027412,0.020084918808288797,,,,,,,,,,13,001,26,f,r,,,,,,,
,,61,13,001,26,f,r,calibration,0.55,2,0,61,0.347354013008391,-0.6306903787402434,1,False,0.5520693999715149,False,square,square,0.27948620579118805,4.499225515837857,818.8590438824899,454.7166143066829,607,[np.int64(600)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,62,13,001,26,f,r,calibration,0.55,2,0,62,0.347354013008391,-0.6306903787402434,1,False,0.5425519999116659,False,square,square,0.28127453230202354,5.603737249456895,1019.8801794011548,349.0490790104062,1543,[np.int64(1368)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,63,13,001,26,f,r,calibration,0.55,2,0,63,0.347354013008391,-0.6306903787402434,1,False,0.706851199734956,False,square,square,0.2827944425281526,3.3790696159158795,621.7488093285218,366.43874654570084,654,[np.int64(69)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,64,13,001,26,f,r,calibration,0.55,2,0,64,0.29156950079727495,-0.887773556565376,1,False,0.512192599941045,False,square,square,0.28963758391663924,3.7254070893985323,681.7494973599314,408.5967914031423,1478,[np.int64(1190)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,65,13,001,26,f,r,calibration,0.55,2,0,65,0.29156950079727495,-0.887773556565376,1,False,0.6711865998804569,False,square,square,0.29596947930514267,3.9903901780959186,726.2510124134571,395.51043265469207,168,[np.int64(238)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,66,13,001,26,f,r,calibration,0.55,2,0,66,0.29156950079727495,-0.887773556565376,1,False,2.2574919001199305,False,square,square,0.30169541938615135,4.348398133253577,791.4084602521509,328.40372002849017,509,[np.int64(1339)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,67,13,001,26,f,r,calibration,0.55,2,0,67,0.29156950079727495,-0.887773556565376,1,False,1.1110898000188172,False,dot,dot,0.3067488633737743,4.012195362819575,730.2195560331626,110.01640336245107,1001,[np.int64(1380)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,68,13,001,26,f,r,calibration,0.55,2,0,68,0.29156950079727495,-0.887773556565376,0,False,1.5257166000083089,False,dot,square,0.265076866916348,6.373750299733024,1160.0225545514104,265.851636790568,1105,[np.int64(568)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,69,13,001,26,f,r,calibration,0.55,2,0,69,0.29156950079727495,-0.887773556565376,1,False,0.8551639998331666,False,square,square,0.2690169043538108,4.099432700950731,754.2956169749347,265.5319747782818,1483,[np.int64(999)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,70,13,001,26,f,r,calibration,0.55,2,0,70,0.29156950079727495,-0.887773556565376,0,False,1.271603399887681,False,dot,square,0.2413285399549662,-0.932837964159678,-205.22435211512916,9.472041909658035,594,[np.int64(1360)],-0.7886260586473065,3.3005320894235073,2.090610807048489,0.020824888068276697,0.019827392576514804,,,,,,,,,,13,001,26,f,r,,,,,,,
,,71,13,001,26,f,r,calibration,0.55,2,0,71,0.347354013008391,-0.6306903787402434,1,False,0.79116619983688,False,square,square,0.2403493249324949,2.8377189755324626,516.4648535469082,521.0041852910543,1418,[np.int64(1443)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,72,13,001,26,f,r,calibration,0.55,2,0,72,0.347354013008391,-0.6306903787402434,0,False,1.606748899910599,False,dot,square,0.22679692036437632,3.6280720968944147,663.9371937316779,405.9321271013121,771,[np.int64(1497)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,73,13,001,26,f,r,calibration,0.55,2,0,73,0.347354013008391,-0.6306903787402434,0,False,0.869898300152272,False,dot,square,0.21671998171753776,3.014688553128023,548.6733166693002,196.85895848393986,1061,[np.int64(921)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,74,13,001,26,f,r,calibration,0.55,2,0,74,0.347354013008391,-0.6306903787402434,0,False,0.6442625001072884,False,dot,square,0.20898728134749672,6.177317095243218,1130.4490284295089,332.0921701848292,1587,[np.int64(894)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,75,13,001,26,f,r,calibration,0.55,2,0,75,0.40766968306220214,-0.37360720091511007,1,False,0.5778105002827942,False,dot,dot,0.2065405065598811,5.841297009745631,1063.1160557737048,235.64751870461464,60,[np.int64(275)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,76,13,001,26,f,r,calibration,0.55,2,0,76,0.40766968306220214,-0.37360720091511007,1,False,0.7715139002539217,False,dot,dot,0.20421618752308626,7.090443548459959,1290.4607258197125,166.30162257547073,599,[np.int64(1242)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,77,13,001,26,f,r,calibration,0.55,2,0,77,0.40766968306220214,-0.37360720091511007,0,False,1.0555893001146615,False,square,dot,0.20321672259639958,3.6863560855626756,681.975875829095,212.32904255651835,398,[np.int64(1416)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
