participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
17,001,26,f,r,memory_test,284,24,metal_detector_04s,unseen,,,,no,0.7427448998205364,52,61
17,001,26,f,r,memory_test,285,25,hobbyhorse_04s,seen,no,high,uncontrolled,yes,0.7474353997968137,51,61
17,001,26,f,r,memory_test,286,26,scrambled_egg_12s,unseen,,,,no,0.9138256004080176,52,61
17,001,26,f,r,memory_test,287,27,water_heater_01b,unseen,,,,no,0.7686892999336123,52,61
17,001,26,f,r,memory_test,288,28,firewood_05s,unseen,,,,yes,0.7901936997659504,52,62
17,001,26,f,r,memory_test,289,29,pasta_06s,seen,no,high,uncontrolled,no,0.6877716998569667,51,62
17,001,26,f,r,memory_test,290,30,faucet_09s,unseen,,,,no,0.6080558001995087,52,61
17,001,26,f,r,memory_test,291,31,snack_02s,unseen,,,,no,0.7035250999033451,52,61
17,001,26,f,r,memory_test,292,32,parfait_17s,seen,yes,high,controlled,no,1.0744563001208007,51,62
17,001,26,f,r,memory_test,293,33,ice_pack_10s,unseen,,,,no,0.5996435997076333,52,61
17,001,26,f,r,memory_test,294,34,creme_brulee_07s,seen,no,low,uncontrolled,no,0.5868426999077201,51,62
17,001,26,f,r,memory_test,295,35,french_fries_11s,seen,yes,low,controlled,no,0.6196829001419246,51,62
17,001,26,f,r,memory_test,296,36,pickle_09s,seen,yes,high,controlled,yes,0.6954036001116037,51,61
17,001,26,f,r,memory_test,297,37,candy_10s,seen,no,high,uncontrolled,no,0.9286557002924383,51,62
17,001,26,f,r,memory_test,298,38,light_switch_17s,seen,no,high,uncontrolled,no,0.5351884998381138,51,62
17,001,26,f,r,memory_test,299,39,locker_12s,unseen,,,,no,0.6299982997588813,52,61
17,001,26,f,r,memory_test,300,40,chaps_14s,seen,no,high,uncontrolled,no,0.7422170001082122,51,62
17,001,26,f,r,memory_test,301,41,robot_14s,seen,yes,high,controlled,yes,0.8523002997972071,51,61
17,001,26,f,r,memory_test,302,42,turtleneck_10s,unseen,,,,yes,1.683742200024426,52,62
17,001,26,f,r,memory_test,303,43,spacesuit_12s,unseen,,,,no,0.6807586001232266,52,61
17,001,26,f,r,memory_test,304,44,dough_17s,seen,yes,high,controlled,yes,0.8793378002010286,51,61
17,001,26,f,r,memory_test,305,45,headdress_11s,seen,no,low,uncontrolled,no,0.6474194996990263,51,62
17,001,26,f,r,memory_test,306,46,cheesecake_13s,unseen,,,,no,0.5819140998646617,52,61
17,001,26,f,r,memory_test,307,47,footprint_11s,unseen,,,,no,0.7331676003523171,52,61
17,001,26,f,r,memory_test,308,48,scoop_12s,unseen,,,,no,0.6094136997126043,52,61
17,001,26,f,r,memory_test,309,49,tamale_13s,seen,yes,high,controlled,no,0.532992800232023,51,62
17,001,26,f,r,memory_test,310,50,shoelace_06s,seen,no,high,uncontrolled,no,0.45446560019627213,51,62
17,001,26,f,r,memory_test,311,51,crutch_11s,unseen,,,,no,0.7528610001318157,52,61
17,001,26,f,r,memory_test,312,52,marshmallow_12s,seen,yes,low,controlled,no,0.5599207999184728,51,62
17,001,26,f,r,memory_test,313,53,tattoo_04s,seen,yes,high,controlled,yes,0.5913390000350773,51,61
17,001,26,f,r,memory_test,314,54,lingerie_06s,seen,yes,low,controlled,yes,0.7395732998847961,51,61
17,001,26,f,r,memory_test,315,55,doorknocker_08s,seen,yes,low,controlled,yes,0.8313478999771178,51,61
17,001,26,f,r,memory_test,316,56,piggy_bank_01b,seen,yes,low,controlled,yes,0.6769938003271818,51,61
17,001,26,f,r,memory_test,317,57,tee_01b,seen,yes,low,controlled,yes,0.6370215001516044,51,61
17,001,26,f,r,memory_test,318,58,toothbrush_12s,unseen,,,,no,0.8071030001156032,52,61
17,001,26,f,r,memory_test,319,59,sock_13s,seen,yes,low,controlled,yes,0.6619063997641206,51,61
17,001,26,f,r,memory_test,320,60,boa_02s,unseen,,,,no,0.5437710001133382,52,61
17,001,26,f,r,memory_test,321,61,costume_08s,seen,yes,low,controlled,no,0.7448101998306811,51,62
17,001,26,f,r,memory_test,322,62,butter_06s,unseen,,,,no,0.5596289001405239,52,61
17,001,26,f,r,memory_test,323,63,bin_01b,seen,yes,low,controlled,no,0.6773940999992192,51,62
17,001,26,f,r,memory_test,324,64,meatball_14s,seen,no,high,uncontrolled,yes,1.2029683999717236,51,61
17,001,26,f,r,memory_test,325,65,windsock_09s,seen,no,high,uncontrolled,no,0.6040401998907328,51,62
17,001,26,f,r,memory_test,326,66,nail_polish_03s,unseen,,,,no,0.6205046996474266,52,61
17,001,26,f,r,memory_test,327,67,sauerkraut_03s,unseen,,,,no,0.5480140000581741,52,61
17,001,26,f,r,memory_test,328,68,bikini_09s,unseen,,,,no,0.5853897002525628,52,61
17,001,26,f,r,memory_test,329,69,bowtie_14s,seen,no,low,uncontrolled,no,0.5024524996988475,51,62
17,001,26,f,r,memory_test,330,70,mannequin_03s,unseen,,,,no,0.583659699652344,52,61
17,001,26,f,r,memory_test,331,71,garter_02s,seen,no,high,uncontrolled,yes,0.6322498000226915,51,61
17,001,26,f,r,memory_test,332,72,quesadilla_02s,unseen,,,,no,0.7194539997726679,52,61
17,001,26,f,r,memory_test,333,73,piecrust_13s,unseen,,,,no,0.7136514997109771,52,61
17,001,26,f,r,memory_test,334,74,batter_04s,seen,no,low,uncontrolled,yes,0.7589066997170448,51,61
17,001,26,f,r,memory_test,335,75,videocassette_07n,seen,no,high,uncontrolled,no,0.5570344999432564,51,62
17,001,26,f,r,memory_test,336,76,soy_sauce_10s,unseen,,,,no,0.5759040000848472,52,61
17,001,26,f,r,memory_test,337,77,drumstick_03s,unseen,,,,no,0.7442449000664055,52,61
17,001,26,f,r,memory_test,338,78,origami_03s,seen,yes,low,controlled,no,0.6327090999111533,51,62
17,001,26,f,r,memory_test,339,79,pancake_08s,seen,yes,high,controlled,no,0.6388646000996232,51,62
17,001,26,f,r,memory_test,340,80,turban_02s,seen,no,high,uncontrolled,yes,0.6624515997245908,51,61
17,001,26,f,r,memory_test,341,81,saltshaker_08s,unseen,,,,no,0.5550300003960729,52,61
17,001,26,f,r,memory_test,342,82,leotard_13s,seen,no,low,uncontrolled,yes,0.75201869988814,51,61
17,001,26,f,r,memory_test,343,83,sweeper_02s,seen,yes,low,controlled,yes,0.789936900138855,51,61
17,001,26,f,r,memory_test,344,84,shortbread_08s,unseen,,,,no,0.6387044996954501,52,61
17,001,26,f,r,memory_test,345,85,bandage_01b,unseen,,,,no,0.606895100325346,52,61
17,001,26,f,r,memory_test,346,86,phone_booth_06s,unseen,,,,no,0.5411802995949984,52,61
17,001,26,f,r,memory_test,347,87,lab_coat_04s,unseen,,,,no,1.1395303001627326,52,61
17,001,26,f,r,memory_test,348,88,ready_meal_11s,unseen,,,,no,0.7774059004150331,52,61
17,001,26,f,r,memory_test,349,89,plaster_cast_13s,seen,no,low,uncontrolled,yes,0.6677712998352945,51,61
17,001,26,f,r,memory_test,350,90,dumpling_13s,seen,no,low,uncontrolled,yes,0.895036299712956,51,61
17,001,26,f,r,memory_test,351,91,quiche_11s,unseen,,,,no,0.6565292999148369,52,61
17,001,26,f,r,memory_test,352,92,fingerprint_01b,seen,yes,high,controlled,yes,0.6517020999453962,51,61
