participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,554,292,hobbyhorse_01b,unseen,,no,0.6236677999841049,52,61
1,001,20,f,r,memory_test,555,293,kangaroo_11s,seen,yes,yes,1.0396614000201225,51,61
1,001,20,f,r,memory_test,556,294,lighter_08s,seen,no,no,0.631324400077574,51,62
1,001,20,f,r,memory_test,557,295,sweeper_02s,seen,no,no,0.5485120000084862,51,62
1,001,20,f,r,memory_test,558,296,limousine_10s,unseen,,no,0.3543760000029579,52,61
1,001,20,f,r,memory_test,559,297,hydrant_01s,seen,no,no,0.46325350005645305,51,62
1,001,20,f,r,memory_test,560,298,air_mattress_13s,unseen,,no,0.4950134999817237,52,61
1,001,20,f,r,memory_test,561,299,vest_09s,seen,no,no,0.37752050010021776,51,62
1,001,20,f,r,memory_test,562,300,blower_12s,unseen,,no,0.3913392999675125,52,61
1,001,20,f,r,memory_test,563,301,lanyard_13s,seen,yes,no,1.526153099955991,51,62
1,001,20,f,r,memory_test,564,302,pea_02s,unseen,,no,0.5992738000350073,52,61
1,001,20,f,r,memory_test,565,303,praying_mantis_04s,unseen,,yes,0.8652062999317423,52,62
1,001,20,f,r,memory_test,566,304,sauerkraut_07s,unseen,,no,0.5027132999384776,52,61
1,001,20,f,r,memory_test,567,305,hairdryer_07s,unseen,,no,0.43853190005756915,52,61
1,001,20,f,r,memory_test,568,306,pantsuit_07s,seen,no,no,0.4272656000684947,51,62
1,001,20,f,r,memory_test,569,307,washing_machine_05s,seen,no,no,0.5570534000871703,51,62
1,001,20,f,r,memory_test,570,308,pita_08s,unseen,,no,0.6782155999680981,52,61
1,001,20,f,r,memory_test,571,309,sink_15n,unseen,,no,0.44423240004107356,52,61
1,001,20,f,r,memory_test,572,310,punching_bag_12s,seen,yes,no,0.3908262000186369,51,62
1,001,20,f,r,memory_test,573,311,dragonfly_09s,seen,no,yes,0.9983268999494612,51,61
1,001,20,f,r,memory_test,574,312,coin_03s,seen,yes,no,0.5630333999870345,51,62
1,001,20,f,r,memory_test,575,313,wooden_leg_02s,seen,yes,no,0.5214672000147402,51,62
1,001,20,f,r,memory_test,576,314,wetsuit_03s,seen,no,no,0.5607975000748411,51,62
1,001,20,f,r,memory_test,577,315,jelly_bean_10s,unseen,,yes,0.7247470999136567,52,62
1,001,20,f,r,memory_test,578,316,ice_cream_04s,unseen,,no,0.6681894999928772,52,61
1,001,20,f,r,memory_test,579,317,light_switch_10s,unseen,,no,0.689144300064072,52,61
