thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,47,2,001,25,f,r,calibration,0.75,2,-1,47,0.6580745541515514,0.654725510385422,1,False,0.8237605000031181,False,dot,dot,0.23262332765598787,14.473532697405194,3039.441866455091,220.4981121982198,1530,[np.int64(1076)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,48,2,001,25,f,r,calibration,0.75,2,-1,48,0.6580745541515514,0.654725510385422,1,False,0.6774264999985462,False,dot,dot,0.22955599621468312,22.827640654110947,4154.630599048192,199.69296882319162,1525,[np.int64(1404)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,49,2,001,25,f,r,calibration,0.75,2,-1,49,0.5981210736084265,0.3976423325602886,1,False,0.9117842000123346,False,square,square,0.23028951274039122,12.977658489450942,2478.73277148513,201.15168422991252,1316,[np.int64(142)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,50,2,001,25,f,r,calibration,0.75,2,-1,50,0.5981210736084265,0.3976423325602886,1,False,0.7377234999876237,False,square,square,0.23073022014292865,17.21604865763718,3133.320855689967,145.44764421974523,370,[np.int64(506)],0.3656646798353186,3.894561787392945,2.308515171899201,0.019312035919916155,0.01931675821781119,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,51,2,001,25,f,r,calibration,0.75,2,-1,51,0.5981210736084265,0.3976423325602886,0,False,1.142380500008585,False,dot,square,0.2129958749222528,12.194212955815626,2219.346757958444,121.69481038007311,1442,[np.int64(981)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,52,2,001,25,f,r,calibration,0.75,2,-1,52,0.6580745541515514,0.654725510385422,1,False,0.8648571999947308,False,square,square,0.2098380984307326,18.461998433374053,3360.0837148740775,188.0664881234272,837,[np.int64(1539)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,53,2,001,25,f,r,calibration,0.75,2,-1,53,0.6580745541515514,0.654725510385422,1,False,0.7165983000013512,False,square,square,0.20689850699168516,9.048691873839608,1701.1540722818463,174.9985750040964,246,[np.int64(937)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,54,2,001,25,f,r,calibration,0.75,2,-1,54,0.5981210736084265,0.3976423325602886,0,False,0.6749841999990167,False,dot,square,0.19347422048246737,12.982351828138635,2362.7880327212315,203.17809415446717,1377,[np.int64(745)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,55,2,001,25,f,r,calibration,0.75,2,-1,55,0.6580745541515514,0.654725510385422,1,False,0.6870990000024904,False,square,square,0.19033496717473297,21.733358546885157,3955.4712555330984,231.37614266559046,198,[np.int64(304)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,56,2,001,25,f,r,calibration,0.75,2,-1,56,0.6580745541515514,0.654725510385422,0,False,0.8535794999916106,False,dot,square,0.18860019190631433,8.965082014341714,1640.6100086245337,132.19950239680506,1390,[np.int64(713)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,57,2,001,25,f,r,calibration,0.75,2,-1,57,0.6580745541515514,0.654725510385422,0,False,0.7592546000087168,False,dot,square,0.18779204954114487,10.997272575795812,2287.432695765529,143.78058052796885,1253,[np.int64(979)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,58,2,001,25,f,r,calibration,0.75,2,-1,58,0.6580745541515514,0.654725510385422,1,False,0.7866334999998799,False,square,square,0.18497399469465,14.878594605350667,2707.9042181738214,120.46865193226408,661,[np.int64(1566)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,59,2,001,25,f,r,calibration,0.75,2,-1,59,0.6580745541515514,0.654725510385422,0,False,0.772351499996148,False,dot,square,0.18461005983692697,12.757935079354853,2321.9441844425833,135.63478354287776,48,[np.int64(457)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,60,2,001,25,f,r,calibration,0.75,2,-1,60,0.6580745541515514,0.654725510385422,1,False,0.7503413000085857,False,square,square,0.18194032586829648,16.076719285553768,3118.883541397431,197.5588395365473,1121,[np.int64(1063)],0.5997928081306597,3.420388025361423,2.023294631127667,0.022840395629991517,0.020601328202674338,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,61,2,001,25,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.6340936000051443,False,dot,dot,0.9585022178944526,4.189783944551764,909.1831159677328,42.7627263723239,1521,[np.int64(384)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,,,2,001,25,f,r,0.6580745541515514,True,,,,,
,,62,2,001,25,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,1.5876766000001226,False,dot,square,0.8159747285924219,6.507851083727201,1203.952450489532,320.9833849791586,1188,[np.int64(1022)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,,,2,001,25,f,r,0.6580745541515514,True,,,,,
,,63,2,001,25,f,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,1,False,1.248269400006393,False,square,square,0.801903934669203,6.11824575667533,1150.230202254962,155.8242474925211,1433,[np.int64(1154)],-0.20878316709790282,3.2302369707761205,2.048860779443661,0.02629789449460237,0.021592525363363452,,,,,,,,,,,,2,001,25,f,r,0.6580745541515514,True,,,,,
