thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,49,12,001,28,f,r,calibration,0.75,2,-1,49,0.347354013008391,-0.6306903787402434,1,False,0.4889784000115469,False,square,square,0.21489949545955706,6.10457550027626,1111.0327410502794,359.6950063569467,141,[np.int64(89)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,50,12,001,28,f,r,calibration,0.75,2,-1,50,0.347354013008391,-0.6306903787402434,1,False,0.47406010003760457,False,square,square,0.2113941449982815,3.8939609424445645,708.7008915249107,73.124806254534,1385,[np.int64(1095)],-0.7521704502242427,3.0286353282894156,1.8299465090668654,0.0230903587733046,0.020675094338000858,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,51,12,001,28,f,r,calibration,0.75,2,-1,51,0.347354013008391,-0.6306903787402434,1,False,0.4074495000531897,False,square,square,0.2082413054276473,4.161671906745113,757.4242870276105,457.81151182416744,741,[np.int64(905)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,52,12,001,28,f,r,calibration,0.75,2,-1,52,0.347354013008391,-0.6306903787402434,1,False,0.6003007999388501,False,dot,dot,0.2053990903408211,3.8791453910286706,721.5210427313327,153.74900413806924,28,[np.int64(657)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,53,12,001,28,f,r,calibration,0.75,2,-1,53,0.347354013008391,-0.6306903787402434,1,False,0.4629717000061646,False,dot,dot,0.20283132965463693,4.68886075312374,853.3726570685207,499.0460036438746,773,[np.int64(1142)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,54,12,001,28,f,r,calibration,0.75,2,-1,54,0.347354013008391,-0.6306903787402434,1,False,0.5621197000145912,False,square,square,0.20050691710553084,5.736918343911801,1049.8560569358597,272.5693328888533,1328,[np.int64(194)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,55,12,001,28,f,r,calibration,0.75,2,-1,55,0.347354013008391,-0.6306903787402434,0,False,0.511715600034222,False,dot,square,0.1981160129929426,6.53039488855968,1188.5318697178618,381.4498281908021,788,[np.int64(737)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,56,12,001,28,f,r,calibration,0.75,2,-1,56,0.347354013008391,-0.6306903787402434,1,False,0.8210355999181047,False,dot,dot,0.1956868765657314,4.811212726556825,885.2631416864557,400.58875256320704,1391,[np.int64(1445)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,57,12,001,28,f,r,calibration,0.75,2,-1,57,0.347354013008391,-0.6306903787402434,0,False,0.8859891999745741,False,square,dot,0.194856148784856,5.516111022673609,1003.9322061265968,140.68518435962636,975,[np.int64(15)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,58,12,001,28,f,r,calibration,0.75,2,-1,58,0.347354013008391,-0.6306903787402434,1,False,0.5234525999985635,False,dot,dot,0.1922662640258867,4.771556193812622,873.1947834677098,193.11806780611929,940,[np.int64(1027)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
