thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,33,3,001,21,f,r,calibration,0.55,2,0,33,0.5350820483873121,0.14055915473515587,1,False,0.7585365999839269,False,dot,dot,0.2494951595821872,6.385306046508349,1430.3085544178703,125.01460966575753,27,[np.int64(570)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,34,3,001,21,f,r,calibration,0.55,2,0,34,0.5350820483873121,0.14055915473515587,1,False,0.9906306999910157,False,square,square,0.2450307184951598,7.850770475625107,1860.6326027231503,97.65434070381677,1279,[np.int64(641)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,35,3,001,21,f,r,calibration,0.55,2,0,35,0.5350820483873121,0.14055915473515587,1,False,0.8214294000063092,False,square,square,0.24108313648850685,9.852820880138676,2512.4693244353625,138.4305879915901,1538,[np.int64(1288)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,36,3,001,21,f,r,calibration,0.55,2,0,36,0.47090191089840744,-0.11652402308997703,0,False,1.3214780999987852,False,dot,square,0.22149593808762355,-0.30972544883139014,-82.69669483798117,79.19773824215612,203,[np.int64(1592)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,37,3,001,21,f,r,calibration,0.55,2,0,37,0.5350820483873121,0.14055915473515587,1,False,0.5866712999995798,False,square,square,0.21685527428297216,6.426287327118376,1510.1775218728185,60.024431703955344,363,[np.int64(1360)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,38,3,001,21,f,r,calibration,0.55,2,0,38,0.5350820483873121,0.14055915473515587,1,False,0.831039700016845,False,dot,dot,0.21274145148562998,6.559332178486297,1771.0196881913002,151.24229581924524,619,[np.int64(78)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,39,3,001,21,f,r,calibration,0.55,2,0,39,0.5350820483873121,0.14055915473515587,1,False,0.77289560000645,False,dot,dot,0.20913691186074215,2.4102429540541985,829.1235761946443,67.22477293179428,1573,[np.int64(967)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,40,3,001,21,f,r,calibration,0.55,2,0,40,0.5350820483873121,0.14055915473515587,0,False,0.728759399993578,False,dot,square,0.20484587728097936,5.1040908499988,1230.0858948497107,63.88187956940145,418,[np.int64(66)],0.00912608262918672,3.869069715627967,2.2980533228704507,0.024090982583367122,0.02100006908489296,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,41,3,001,21,f,r,calibration,0.55,2,0,41,0.5350820483873121,0.14055915473515587,1,False,0.816432799998438,False,square,square,0.20100916703294114,4.1200282542325075,1380.20946516789,61.49263981741126,180,[np.int64(188)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,42,3,001,21,f,r,calibration,0.55,2,0,42,0.5350820483873121,0.14055915473515587,1,False,0.8886650999775156,False,dot,dot,0.1976059440340055,5.704423184467864,1346.243871534416,72.8060929081715,120,[np.int64(542)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,43,3,001,21,f,r,calibration,0.55,2,0,43,0.5350820483873121,0.14055915473515587,0,False,0.8928462999756448,False,dot,square,0.19553570412279195,5.979822102501075,2128.8166684903827,125.22361681615496,230,[np.int64(365)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,44,3,001,21,f,r,calibration,0.55,2,0,44,0.5350820483873121,0.14055915473515587,1,False,1.2824512000079267,False,dot,dot,0.1918756459785719,11.696900275579113,2456.3490578716137,202.1754195627202,524,[np.int64(759)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,45,3,001,21,f,r,calibration,0.55,2,0,45,0.5350820483873121,0.14055915473515587,1,False,1.0001458000042476,False,square,square,0.18860198612076978,2.46206243467016,583.5087970168279,25.44317095074224,1314,[np.int64(1562)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,46,3,001,21,f,r,calibration,0.55,2,0,46,0.5350820483873121,0.14055915473515587,0,False,0.7316020999860484,False,dot,square,0.18810383850795648,2.0471380975711426,669.4141579057637,33.09849887089878,651,[np.int64(386)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,47,3,001,21,f,r,calibration,0.55,2,0,47,0.5350820483873121,0.14055915473515587,1,False,1.1014060000015888,False,square,square,0.18457641597799868,8.706986471838466,1793.639213198724,131.2174810015693,1377,[np.int64(1358)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,48,3,001,21,f,r,calibration,0.55,2,0,48,0.5350820483873121,0.14055915473515587,1,False,0.8740096999972593,False,dot,dot,0.18140125388084985,5.602019556695823,1221.2402633596894,85.08241230675421,1584,[np.int64(899)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,49,3,001,21,f,r,calibration,0.55,2,0,49,0.5350820483873121,0.14055915473515587,1,False,0.8455984000174794,False,square,square,0.17855475625463885,7.435934645586988,1635.9056220291372,117.77649061435875,938,[np.int64(491)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,50,3,001,21,f,r,calibration,0.55,2,0,50,0.5350820483873121,0.14055915473515587,1,False,0.9241831000254024,False,square,square,0.17601254694306573,8.724726445822059,1980.5129032016075,114.37146745086359,1387,[np.int64(1055)],0.004966752533243658,3.748082832471429,2.2173099977226793,0.02404351204065071,0.020953409462621104,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,51,3,001,21,f,r,calibration,0.55,2,0,51,0.5350820483873121,0.14055915473515587,1,False,0.7600348000123631,False,square,square,0.17375014979626208,10.39786579356414,2443.498461487573,125.35841128052824,364,[np.int64(879)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,52,3,001,21,f,r,calibration,0.55,2,0,52,0.5350820483873121,0.14055915473515587,1,False,0.7352400000090711,False,dot,dot,0.17174349471965644,13.304459518440808,2873.7632559832145,193.7800587641028,1084,[np.int64(615)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,53,3,001,21,f,r,calibration,0.55,2,0,53,0.5350820483873121,0.14055915473515587,0,False,0.7137097000086214,False,square,dot,0.1693307165108529,0.9721641492022637,309.14819944631984,8.718295945742561,1076,[np.int64(13)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,54,3,001,21,f,r,calibration,0.55,2,0,54,0.5350820483873121,0.14055915473515587,1,False,0.8028088999853935,False,dot,dot,0.1671304209887667,2.9782444151989864,658.192015758976,21.58880361380433,926,[np.int64(1456)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,55,3,001,21,f,r,calibration,0.55,2,0,55,0.5350820483873121,0.14055915473515587,1,False,0.819650699995691,False,square,square,0.1651662233668002,7.430183889898761,1694.0819268969176,104.83104026738704,1531,[np.int64(552)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,56,3,001,21,f,r,calibration,0.55,2,0,56,0.5350820483873121,0.14055915473515587,0,False,1.46343460000935,False,dot,square,0.163937741860526,6.319647777507092,1693.6656043719008,114.40554331220451,387,[np.int64(668)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,57,3,001,21,f,r,calibration,0.55,2,0,57,0.5350820483873121,0.14055915473515587,1,False,0.87725620000856,False,square,square,0.1617782077703656,3.2391977483193486,706.145109133618,20.679499343641556,9,[np.int64(494)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,58,3,001,21,f,r,calibration,0.55,2,0,58,0.5350820483873121,0.14055915473515587,1,False,0.691491000005044,False,dot,dot,0.15983917651369814,5.266575693277275,1332.4436503991506,57.42591684491381,1404,[np.int64(1131)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,59,3,001,21,f,r,calibration,0.55,2,0,59,0.5350820483873121,0.14055915473515587,1,False,0.6094861000019591,False,square,square,0.1581007639243133,10.691695986877344,2170.414285336101,161.5365774228029,1075,[np.int64(1527)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,60,3,001,21,f,r,calibration,0.55,2,0,60,0.5350820483873121,0.14055915473515587,1,False,0.6383755000133533,False,dot,dot,0.15654433697738815,6.874641129463871,1759.908129142751,159.36997365898998,863,[np.int64(109)],0.002884285371587437,3.647003957461579,2.1380218773695545,0.023976513989213057,0.020901314258395583,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,61,3,001,21,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,0.8812779000145383,False,square,square,0.8833941500202273,6.655859086237675,1464.2889989722885,132.70400396723784,922,[np.int64(186)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,3,001,21,f,r,0.30958094130433256,True,,,,,
